Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-05-20,Superbad,2007,https://boxd.it/6vmmOj,5,,,2024-05-19
2024-05-27,Furiosa: A Mad Max Saga,2024,https://boxd.it/6yeMKj,4.5,,,2024-05-26
2024-06-14,Challengers,2024,https://boxd.it/6FHYmp,4.5,,,2024-06-14
2024-06-26,Godzilla Minus One,2023,https://boxd.it/6KrMit,4.5,,,2024-06-25
2024-06-29,Jujutsu Kaisen 0,2021,https://boxd.it/6LmxyF,4,,,2024-06-26
2024-06-29,A Brighter Summer Day,1991,https://boxd.it/6LmxPr,4.5,,,2024-06-27
2024-06-29,The Seventh Seal,1957,https://boxd.it/6Ly4K7,5,,,2024-06-28
2024-07-01,Inside Out 2,2024,https://boxd.it/6Mo1t7,4,,,2024-06-30
2024-07-02,Come and See,1985,https://boxd.it/6MPfs7,5,,,2024-07-01
2024-07-03,Autumn Sonata,1978,https://boxd.it/6NexLr,4.5,,,2024-07-02
2024-07-06,The Apartment,1960,https://boxd.it/6OuhxJ,5,,,2024-07-05
2024-07-22,Shrek the Third,2007,https://boxd.it/6VAh8J,3,,,2024-07-15
2024-07-22,Anyone But You,2023,https://boxd.it/6VAhOP,2,,,2024-07-15
2024-07-23,Turning Red,2022,https://boxd.it/6W7qQV,4,,,2024-07-22
2024-07-23,Shiva Baby,2020,https://boxd.it/6W7sih,3.5,,,2024-07-22
2024-07-26,The First Slam Dunk,2022,https://boxd.it/6XscTH,4.5,,,2024-07-25
2024-07-26,La Chimera,2023,https://boxd.it/6XzoED,4,,,2024-07-26
2024-07-27,The Fall Guy,2024,https://boxd.it/6Y9JzL,3.5,,,2024-07-27
2024-07-31,High and Low,1963,https://boxd.it/6ZQzFf,4.5,,,2024-07-30
2024-08-01,Gomorrah,2008,https://boxd.it/70hqoD,4,,,2024-07-31
2024-08-03,Marie Antoinette,2006,https://boxd.it/710haR,4,,,2024-08-02
2024-08-03,Paths of Glory,1957,https://boxd.it/71fSZn,5,,,2024-08-03
2024-08-06,Stalker,1979,https://boxd.it/72mSAZ,5,,,2024-08-04
2024-08-06,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/72sjOf,0.5,,,2024-08-05
2024-08-07,MaXXXine,2024,https://boxd.it/72RFF5,2.5,,,2024-08-06
2024-08-14,All That Jazz,1979,https://boxd.it/75WX6J,5,,,2024-08-13
